,timestamp,open,high,low,close,datetime
8600,1771977600000000000,87.25,87.33,87.25,87.33,2026-02-25T00:00:00.000000Z
8601,1771977660000000000,87.33,87.34,87.14,87.14,2026-02-25T00:01:00.000000Z
8602,1771977720000000000,87.14,87.19,87.11,87.19,2026-02-25T00:02:00.000000Z
8603,1771977780000000000,87.19,87.2,87.07,87.08,2026-02-25T00:03:00.000000Z
8604,1771977840000000000,87.08,87.08,87.05,87.06,2026-02-25T00:04:00.000000Z
8605,1771977900000000000,87.06,87.11,87.02,87.11,2026-02-25T00:05:00.000000Z
8606,1771977960000000000,87.11,87.11,87.02,87.07,2026-02-25T00:06:00.000000Z
8607,1771978020000000000,87.07,87.08,87.03,87.07,2026-02-25T00:07:00.000000Z
8608,1771978080000000000,87.07,87.15,87.07,87.09,2026-02-25T00:08:00.000000Z
8609,1771978140000000000,87.09,87.21,87.09,87.2,2026-02-25T00:09:00.000000Z
8610,1771978200000000000,87.2,87.2,87.08,87.08,2026-02-25T00:10:00.000000Z
8611,1771978260000000000,87.08,87.11,87.05,87.07,2026-02-25T00:11:00.000000Z
8612,1771978320000000000,87.07,87.07,86.79,86.85,2026-02-25T00:12:00.000000Z
8613,1771978380000000000,86.85,86.93,86.82,86.91,2026-02-25T00:13:00.000000Z
8614,1771978440000000000,86.91,87.01,86.91,86.97,2026-02-25T00:14:00.000000Z
8615,1771978500000000000,86.97,87.1,86.9,87.1,2026-02-25T00:15:00.000000Z
8616,1771978560000000000,87.1,87.22,87.07,87.2,2026-02-25T00:16:00.000000Z
8617,1771978620000000000,87.2,87.22,87.16,87.18,2026-02-25T00:17:00.000000Z
8618,1771978680000000000,87.18,87.19,87.18,87.19,2026-02-25T00:18:00.000000Z
8619,1771978740000000000,87.19,87.19,87.14,87.14,2026-02-25T00:19:00.000000Z
8620,1771978800000000000,87.14,87.21,87.14,87.21,2026-02-25T00:20:00.000000Z
8621,1771978860000000000,87.21,87.21,87.18,87.18,2026-02-25T00:21:00.000000Z
8622,1771978920000000000,87.18,87.23,87.18,87.23,2026-02-25T00:22:00.000000Z
8623,1771978980000000000,87.23,87.23,87.2,87.21,2026-02-25T00:23:00.000000Z
8624,1771979040000000000,87.21,87.21,87.13,87.13,2026-02-25T00:24:00.000000Z
8625,1771979100000000000,87.13,87.13,87.02,87.05,2026-02-25T00:25:00.000000Z
8626,1771979160000000000,87.05,87.06,87.03,87.05,2026-02-25T00:26:00.000000Z
8627,1771979220000000000,87.05,87.07,87.05,87.06,2026-02-25T00:27:00.000000Z
8628,1771979280000000000,87.06,87.06,86.94,86.95,2026-02-25T00:28:00.000000Z
8629,1771979340000000000,86.95,87.01,86.93,86.99,2026-02-25T00:29:00.000000Z
8630,1771979400000000000,86.99,87.16,86.99,87.16,2026-02-25T00:30:00.000000Z
8631,1771979460000000000,87.16,87.33,87.16,87.27,2026-02-25T00:31:00.000000Z
8632,1771979520000000000,87.27,87.3,87.12,87.16,2026-02-25T00:32:00.000000Z
8633,1771979580000000000,87.16,87.17,87.09,87.12,2026-02-25T00:33:00.000000Z
8634,1771979640000000000,87.12,87.15,87.08,87.11,2026-02-25T00:34:00.000000Z
8635,1771979700000000000,87.11,87.12,86.9,86.99,2026-02-25T00:35:00.000000Z
8636,1771979760000000000,86.99,87.11,86.99,87.07,2026-02-25T00:36:00.000000Z
8637,1771979820000000000,87.07,87.22,87.07,87.22,2026-02-25T00:37:00.000000Z
8638,1771979880000000000,87.22,87.3,87.22,87.25,2026-02-25T00:38:00.000000Z
8639,1771979940000000000,87.25,87.29,87.23,87.27,2026-02-25T00:39:00.000000Z
8640,1771980000000000000,87.27,87.3,87.26,87.27,2026-02-25T00:40:00.000000Z
8400,1771980060000000000,87.27,87.29,87.26,87.29,2026-02-25T00:41:00.000000Z
8401,1771980120000000000,87.29,87.31,87.22,87.28,2026-02-25T00:42:00.000000Z
8402,1771980180000000000,87.28,87.3,87.19,87.23,2026-02-25T00:43:00.000000Z
8403,1771980240000000000,87.23,87.25,87.15,87.19,2026-02-25T00:44:00.000000Z
8404,1771980300000000000,87.19,87.22,87.12,87.12,2026-02-25T00:45:00.000000Z
8405,1771980360000000000,87.12,87.14,87.09,87.11,2026-02-25T00:46:00.000000Z
8406,1771980420000000000,87.11,87.17,87.1,87.13,2026-02-25T00:47:00.000000Z
8407,1771980480000000000,87.13,87.17,87.13,87.13,2026-02-25T00:48:00.000000Z
8408,1771980540000000000,87.13,87.14,87.08,87.11,2026-02-25T00:49:00.000000Z
8409,1771980600000000000,87.11,87.14,87.1,87.1,2026-02-25T00:50:00.000000Z
