timestamp,open,high,low,close,basevolume,usdtvolume,source_zip,datetime_utc
1767283200,4333.1,4337.47,4333.1,4337.47,0.01,43.3747,20260102.zip,2026-01-01 16:00:00+00:00
1767283260,4337.47,4337.47,4330.01,4331.57,0.62,2685.799,20260102.zip,2026-01-01 16:01:00+00:00
1767283440,4331.57,4331.57,4330.09,4330.09,0.02,86.6018,20260102.zip,2026-01-01 16:04:00+00:00
1767283560,4330.09,4332.66,4330.09,4332.66,0.03,129.9798,20260102.zip,2026-01-01 16:06:00+00:00
1767283680,4332.66,4332.66,4329.87,4332.66,0.26,1126.3643,20260102.zip,2026-01-01 16:08:00+00:00
1767283740,4332.66,4332.66,4329.74,4332.47,0.56,2424.6921,20260102.zip,2026-01-01 16:09:00+00:00
1767283800,4332.47,4337.09,4329.26,4335.77,1.14,4940.0487,20260102.zip,2026-01-01 16:10:00+00:00
1767283860,4335.77,4335.77,4330.24,4330.38,0.41,1775.865,20260102.zip,2026-01-01 16:11:00+00:00
1767283920,4330.38,4332.17,4330.38,4332.16,0.1,433.2165,20260102.zip,2026-01-01 16:12:00+00:00
1767284160,4332.16,4332.16,4329.05,4331.42,0.12,519.7467,20260102.zip,2026-01-01 16:16:00+00:00
1767284520,4331.42,4334.91,4331.42,4334.9,0.93,4031.0016,20260102.zip,2026-01-01 16:22:00+00:00
1767284580,4334.9,4337.86,4334.9,4337.86,0.33,1431.0972,20260102.zip,2026-01-01 16:23:00+00:00
1767284640,4337.86,4337.86,4335.91,4335.91,0.23,997.2672,20260102.zip,2026-01-01 16:24:00+00:00
1767284700,4335.91,4338.4,4335.91,4338.07,0.49,2125.4828,20260102.zip,2026-01-01 16:25:00+00:00
1767284760,4338.07,4339.05,4338.07,4338.27,0.22,954.513,20260102.zip,2026-01-01 16:26:00+00:00
1767284940,4338.27,4338.27,4337.8,4337.99,0.27,1171.2226,20260102.zip,2026-01-01 16:29:00+00:00
1767285000,4337.99,4337.99,4337.99,4337.99,0.12,520.5588,20260102.zip,2026-01-01 16:30:00+00:00
1767285060,4337.99,4338.79,4335.59,4335.59,1.02,4424.8661,20260102.zip,2026-01-01 16:31:00+00:00
1767285120,4335.59,4338,4335.59,4338,0.95,4120.4933,20260102.zip,2026-01-01 16:32:00+00:00
1767285180,4338,4338,4334.94,4334.94,0.26,1127.1516,20260102.zip,2026-01-01 16:33:00+00:00
1767285480,4334.94,4337.41,4334.94,4337.41,0.24,1040.9784,20260102.zip,2026-01-01 16:38:00+00:00
1767285540,4337.41,4337.41,4335.12,4335.12,0.01,43.3512,20260102.zip,2026-01-01 16:39:00+00:00
1767285660,4335.12,4337.99,4334.29,4334.29,0.57,2471.5412,20260102.zip,2026-01-01 16:41:00+00:00
1767285720,4334.29,4334.29,4331.16,4332.47,0.5,2165.871,20260102.zip,2026-01-01 16:42:00+00:00
1767285840,4332.47,4334.26,4332.47,4334.25,0.23,996.8796,20260102.zip,2026-01-01 16:44:00+00:00
1767286020,4334.25,4334.25,4331.93,4331.93,0.14,606.4834,20260102.zip,2026-01-01 16:47:00+00:00
1767286440,4331.93,4334.12,4330.54,4330.54,0.09,389.7844,20260102.zip,2026-01-01 16:54:00+00:00
1767286680,4330.54,4332.46,4330.54,4332.46,0.13,563.2029,20260102.zip,2026-01-01 16:58:00+00:00
