,timestamp,open,high,low,close,datetime
8600,1771977600000000000,5144.56,5147.4,5144.56,5147.4,2026-02-25T00:00:00.000000Z
8601,1771977660000000000,5147.4,5147.4,5143.39,5143.39,2026-02-25T00:01:00.000000Z
8602,1771977720000000000,5143.39,5143.39,5142.42,5143.18,2026-02-25T00:02:00.000000Z
8603,1771977780000000000,5143.18,5143.18,5140.51,5141.13,2026-02-25T00:03:00.000000Z
8604,1771977840000000000,5141.13,5141.13,5138.22,5138.86,2026-02-25T00:04:00.000000Z
8605,1771977900000000000,5138.86,5139.23,5136.68,5138.96,2026-02-25T00:05:00.000000Z
8606,1771977960000000000,5138.96,5139.54,5136.36,5138.3,2026-02-25T00:06:00.000000Z
8607,1771978020000000000,5138.3,5140.07,5135.33,5140.07,2026-02-25T00:07:00.000000Z
8608,1771978080000000000,5140.07,5141.22,5139.86,5141.21,2026-02-25T00:08:00.000000Z
8609,1771978140000000000,5141.21,5142.08,5141.2,5142.08,2026-02-25T00:09:00.000000Z
8610,1771978200000000000,5142.08,5142.08,5137.71,5137.71,2026-02-25T00:10:00.000000Z
8611,1771978260000000000,5137.71,5139.78,5137.71,5139.31,2026-02-25T00:11:00.000000Z
8612,1771978320000000000,5139.31,5140.69,5136.89,5136.89,2026-02-25T00:12:00.000000Z
8613,1771978380000000000,5136.89,5139.09,5136.89,5138.6,2026-02-25T00:13:00.000000Z
8614,1771978440000000000,5138.6,5139.91,5138.46,5138.46,2026-02-25T00:14:00.000000Z
8615,1771978500000000000,5138.46,5139.5,5136.92,5137.28,2026-02-25T00:15:00.000000Z
8616,1771978560000000000,5137.28,5142.27,5137.28,5142.27,2026-02-25T00:16:00.000000Z
8617,1771978620000000000,5142.27,5142.27,5140.44,5141.4,2026-02-25T00:17:00.000000Z
8618,1771978680000000000,5141.4,5141.41,5141.4,5141.4,2026-02-25T00:18:00.000000Z
8619,1771978740000000000,5141.4,5142.42,5141.01,5141.86,2026-02-25T00:19:00.000000Z
8620,1771978800000000000,5141.86,5144.31,5141.8,5144.21,2026-02-25T00:20:00.000000Z
8621,1771978860000000000,5144.21,5145.62,5143.24,5143.24,2026-02-25T00:21:00.000000Z
