venue,product_type,symbol,hour_utc,bars,close,total_usdt_volume,total_base_volume,total_quote_volume
futures,USDT-FUTURES,BTCUSDT,2025-12-31 06:00:00+00:00,59,88483.8,30991407.04558,350.2315,30991407.04558
futures,USDT-FUTURES,BTCUSDT,2025-12-31 07:00:00+00:00,60,88578.9,32003040.74476,361.50169999999997,32003040.74476
futures,USDT-FUTURES,BTCUSDT,2025-12-31 08:00:00+00:00,60,88397.1,79032979.54766,892.8124,79032979.54766
futures,USDT-FUTURES,BTCUSDT,2025-12-31 09:00:00+00:00,59,88630.6,39000797.08397,440.33029999999997,39000797.08397
futures,USDT-FUTURES,BTCUSDT,2025-12-31 10:00:00+00:00,60,88807.3,181156753.58275,2041.6435,181156753.58275
futures,USDT-FUTURES,BTCUSDT,2025-12-31 11:00:00+00:00,60,88974.2,162080323.48907,1823.102,162080323.48907
futures,USDT-FUTURES,BTCUSDT,2025-12-31 12:00:00+00:00,59,88735.0,97788944.35609,1100.6177,97788944.35609
futures,USDT-FUTURES,BTCUSDT,2025-12-31 13:00:00+00:00,60,88944.8,87623437.23145,986.2328,87623437.23145
futures,USDT-FUTURES,BTCUSDT,2025-12-31 14:00:00+00:00,60,88444.4,252807542.13986,2850.2206,252807542.13986
futures,USDT-FUTURES,BTCUSDT,2025-12-31 15:00:00+00:00,60,87924.7,298353758.63247,3388.8969,298353758.63247
futures,USDT-FUTURES,BTCUSDT,2025-12-31 16:00:00+00:00,59,87634.9,280261618.62921,3197.0507,280261618.62921
futures,USDT-FUTURES,BTCUSDT,2025-12-31 17:00:00+00:00,60,87608.3,126025208.5765,1438.4759,126025208.5765
futures,USDT-FUTURES,BTCUSDT,2025-12-31 18:00:00+00:00,60,87666.1,102925970.75719,1172.2887,102925970.75719
futures,USDT-FUTURES,BTCUSDT,2025-12-31 19:00:00+00:00,59,87522.1,57066103.22834,650.9975000000001,57066103.22834
futures,USDT-FUTURES,BTCUSDT,2025-12-31 20:00:00+00:00,60,87646.0,139278871.90566,1592.2842,139278871.90566
futures,USDT-FUTURES,BTCUSDT,2025-12-31 21:00:00+00:00,60,87782.0,44204947.00857,503.7129,44204947.00857
futures,USDT-FUTURES,BTCUSDT,2025-12-31 22:00:00+00:00,59,87710.7,53794226.937800005,613.1059,53794226.937800005
futures,USDT-FUTURES,BTCUSDT,2025-12-31 23:00:00+00:00,60,87624.4,28898981.96814,329.7441,28898981.96814
futures,USDT-FUTURES,BTCUSDT,2026-01-01 00:00:00+00:00,60,87790.0,42286056.77511,481.93,42286056.77511
futures,USDT-FUTURES,BTCUSDT,2026-01-01 01:00:00+00:00,60,87937.5,62466924.10438,710.5082,62466924.10438
futures,USDT-FUTURES,BTCUSDT,2026-01-01 02:00:00+00:00,59,87893.9,43553589.12334,495.1714,43553589.12334
futures,USDT-FUTURES,BTCUSDT,2026-01-01 03:00:00+00:00,60,87826.0,32727055.98291,372.34430000000003,32727055.98291
futures,USDT-FUTURES,BTCUSDT,2026-01-01 04:00:00+00:00,60,87581.7,102873925.62776,1173.8383,102873925.62776
futures,USDT-FUTURES,BTCUSDT,2026-01-01 05:00:00+00:00,59,87693.4,37067043.94381,422.8017,37067043.94381
futures,USDT-FUTURES,BTCUSDT,2026-01-01 06:00:00+00:00,60,87648.1,13378589.10609,152.63230000000001,13378589.10609
futures,USDT-FUTURES,BTCUSDT,2026-01-01 07:00:00+00:00,60,87621.2,32702982.13226,373.1959,32702982.13226
futures,USDT-FUTURES,BTCUSDT,2026-01-01 08:00:00+00:00,59,87761.7,34521877.58791,393.5077,34521877.58791
futures,USDT-FUTURES,BTCUSDT,2026-01-01 09:00:00+00:00,60,87865.2,41612813.7477,473.572,41612813.7477
futures,USDT-FUTURES,BTCUSDT,2026-01-01 10:00:00+00:00,60,87845.0,18398434.59124,209.4745,18398434.59124
futures,USDT-FUTURES,BTCUSDT,2026-01-01 11:00:00+00:00,60,87994.2,52630116.19423,598.5915,52630116.19423
futures,USDT-FUTURES,BTCUSDT,2026-01-01 12:00:00+00:00,59,87907.2,52474834.60247,596.5668000000001,52474834.60247
futures,USDT-FUTURES,BTCUSDT,2026-01-01 13:00:00+00:00,60,87877.2,40565188.08816,461.4281,40565188.08816
futures,USDT-FUTURES,BTCUSDT,2026-01-01 14:00:00+00:00,60,87921.5,62756172.65157,714.4118,62756172.65157
futures,USDT-FUTURES,BTCUSDT,2026-01-01 15:00:00+00:00,59,87980.5,75626958.636,859.6795999999999,75626958.636
